"","x"
"1","ENSG00000001167"
"2","ENSG00000002822"
"3","ENSG00000004478"
"4","ENSG00000006712"
"5","ENSG00000007080"
"6","ENSG00000007908"
"7","ENSG00000011007"
"8","ENSG00000011275"
"9","ENSG00000012822"
"10","ENSG00000015532"
"11","ENSG00000016402"
"12","ENSG00000019505"
"13","ENSG00000031698"
"14","ENSG00000036565"
"15","ENSG00000042493"
"16","ENSG00000044090"
"17","ENSG00000047621"
"18","ENSG00000047849"
"19","ENSG00000049245"
"20","ENSG00000060491"
"21","ENSG00000064199"
"22","ENSG00000065491"
"23","ENSG00000068383"
"24","ENSG00000071991"
"25","ENSG00000072163"
"26","ENSG00000072736"
"27","ENSG00000072803"
"28","ENSG00000073578"
"29","ENSG00000073598"
"30","ENSG00000074582"
"31","ENSG00000075856"
"32","ENSG00000076944"
"33","ENSG00000078795"
"34","ENSG00000078967"
"35","ENSG00000079616"
"36","ENSG00000084234"
"37","ENSG00000084652"
"38","ENSG00000084733"
"39","ENSG00000086717"
"40","ENSG00000087191"
"41","ENSG00000087269"
"42","ENSG00000089154"
"43","ENSG00000089199"
"44","ENSG00000090861"
"45","ENSG00000091490"
"46","ENSG00000092621"
"47","ENSG00000092820"
"48","ENSG00000095066"
"49","ENSG00000099256"
"50","ENSG00000099821"
"51","ENSG00000100003"
"52","ENSG00000100109"
"53","ENSG00000100207"
"54","ENSG00000100345"
"55","ENSG00000100410"
"56","ENSG00000100416"
"57","ENSG00000100593"
"58","ENSG00000100823"
"59","ENSG00000101019"
"60","ENSG00000101161"
"61","ENSG00000101417"
"62","ENSG00000102103"
"63","ENSG00000102967"
"64","ENSG00000103023"
"65","ENSG00000103051"
"66","ENSG00000104129"
"67","ENSG00000104679"
"68","ENSG00000104907"
"69","ENSG00000104980"
"70","ENSG00000105401"
"71","ENSG00000105443"
"72","ENSG00000105559"
"73","ENSG00000105696"
"74","ENSG00000106244"
"75","ENSG00000106366"
"76","ENSG00000106546"
"77","ENSG00000107175"
"78","ENSG00000107581"
"79","ENSG00000108592"
"80","ENSG00000108829"
"81","ENSG00000109065"
"82","ENSG00000109111"
"83","ENSG00000109189"
"84","ENSG00000111667"
"85","ENSG00000111863"
"86","ENSG00000112309"
"87","ENSG00000113070"
"88","ENSG00000114503"
"89","ENSG00000114739"
"90","ENSG00000114767"
"91","ENSG00000114923"
"92","ENSG00000114982"
"93","ENSG00000114988"
"94","ENSG00000115234"
"95","ENSG00000115241"
"96","ENSG00000115295"
