source,target,weight,layer_from,layer_to
FOXO3,FOXO3,-2.1133728406293004,TF,DEG_T2D
HNF4A,HNF4A,1.252420162619357,TF,DEG_T2D
ENSG00000001461,ENSG00000001461,1.0,DEG_T2D,Module_ME3
ENSG00000002919,ENSG00000002919,1.0,DEG_T2D,Module_ME3
ENSG00000003137,ENSG00000003137,1.0,DEG_T2D,Module_ME3
ENSG00000004948,ENSG00000004948,1.0,DEG_T2D,Module_ME3
ENSG00000005469,ENSG00000005469,1.0,DEG_T2D,Module_ME3
ENSG00000005889,ENSG00000005889,1.0,DEG_T2D,Module_ME3
ENSG00000006016,ENSG00000006016,1.0,DEG_T2D,Module_ME3
ENSG00000006025,ENSG00000006025,1.0,DEG_T2D,Module_ME3
ENSG00000006118,ENSG00000006118,1.0,DEG_T2D,Module_ME3
ENSG00000006327,ENSG00000006327,1.0,DEG_T2D,Module_ME3
ENSG00000006377,ENSG00000006377,1.0,DEG_T2D,Module_ME3
ENSG00000006534,ENSG00000006534,1.0,DEG_T2D,Module_ME3
ENSG00000006659,ENSG00000006659,1.0,DEG_T2D,Module_ME3
ENSG00000006704,ENSG00000006704,1.0,DEG_T2D,Module_ME3
ENSG00000006740,ENSG00000006740,1.0,DEG_T2D,Module_ME3
ENSG00000006756,ENSG00000006756,1.0,DEG_T2D,Module_ME3
ENSG00000006788,ENSG00000006788,1.0,DEG_T2D,Module_ME3
ENSG00000007384,ENSG00000007384,1.0,DEG_T2D,Module_ME3
ENSG00000007516,ENSG00000007516,1.0,DEG_T2D,Module_ME3
ENSG00000007866,ENSG00000007866,1.0,DEG_T2D,Module_ME3
ENSG00000008256,ENSG00000008256,1.0,DEG_T2D,Module_ME3
ENSG00000008300,ENSG00000008300,1.0,DEG_T2D,Module_ME3
ENSG00000008735,ENSG00000008735,1.0,DEG_T2D,Module_ME3
ENSG00000009709,ENSG00000009709,1.0,DEG_T2D,Module_ME3
ENSG00000010017,ENSG00000010017,1.0,DEG_T2D,Module_ME3
ENSG00000010292,ENSG00000010292,1.0,DEG_T2D,Module_ME3
ENSG00000010361,ENSG00000010361,1.0,DEG_T2D,Module_ME3
ENSG00000011083,ENSG00000011083,1.0,DEG_T2D,Module_ME3
ENSG00000011243,ENSG00000011243,1.0,DEG_T2D,Module_ME3
ENSG00000011258,ENSG00000011258,1.0,DEG_T2D,Module_ME3
ENSG00000011478,ENSG00000011478,1.0,DEG_T2D,Module_ME3
ENSG00000011590,ENSG00000011590,1.0,DEG_T2D,Module_ME3
ENSG00000012211,ENSG00000012211,1.0,DEG_T2D,Module_ME3
ENSG00000013392,ENSG00000013392,1.0,DEG_T2D,Module_ME3
ENSG00000013503,ENSG00000013503,1.0,DEG_T2D,Module_ME3
ENSG00000017427,ENSG00000017427,1.0,DEG_T2D,Module_ME3
ENSG00000018408,ENSG00000018408,1.0,DEG_T2D,Module_ME3
