source,target,weight,layer
A4GALT,B4GALT4,0.938,DEG_T2D
AAR2,SNRNP40,0.974,DEG_T2D
AAR2,PRPF6,0.955,DEG_T2D
AAR2,DDX23,0.98,DEG_T2D
AAR2,TSSC4,0.933,DEG_T2D
AARS1,ANAPC2,0.722,DEG_T2D
AARS1,ANAPC1,0.832,DEG_T2D
ABCA3,SFTPC,0.899,DEG_T2D
ABCA3,SFTPB,0.96,DEG_T2D
ABCA8,SLC22A8,0.796,DEG_T2D
ABCC2,NR1I2,0.73,DEG_T2D
ABCC2,SLC22A8,0.913,DEG_T2D
ABCC2,SLC22A6,0.738,DEG_T2D
ABCC2,CYP3A4,0.754,DEG_T2D
ABRAXAS2,TP53,0.79,DEG_T2D
ABRAXAS2,PSMD14,0.736,DEG_T2D
ACACB,PPAT,0.823,DEG_T2D
ACACB,ACAT1,0.953,DEG_T2D
ACACB,ACOX1,0.79,DEG_T2D
ACACB,HLCS,0.927,DEG_T2D
ACACB,PRKAB1,0.929,DEG_T2D
ACACB,SREBF1,0.939,DEG_T2D
ACACB,PRKAA1,0.943,DEG_T2D
ACACB,ACLY,0.97,DEG_T2D
ACADL,ACADSB,0.931,DEG_T2D
ACADL,ACADS,0.935,DEG_T2D
ACADL,ACOX1,0.972,DEG_T2D
ACADS,AOX1,0.833,DEG_T2D
ACADS,ALDH7A1,0.887,DEG_T2D
ACADS,ACADSB,0.948,DEG_T2D
ACADS,ACOX1,0.951,DEG_T2D
ACADS,PCCA,0.957,DEG_T2D
ACADS,ACAT1,0.967,DEG_T2D
ACADS,ECHDC1,0.982,DEG_T2D
ACADSB,ACAT1,0.968,DEG_T2D
ACADSB,ACOX1,0.95,DEG_T2D
ACADSB,ECHDC1,0.89,DEG_T2D
ACAT1,ECHDC1,0.712,DEG_T2D
ACAT1,ACLY,0.915,DEG_T2D
ACAT1,ACOX1,0.968,DEG_T2D
ACAT1,HMGCL,0.972,DEG_T2D
ACE,GNB3,0.779,DEG_T2D
ACE,GPT,0.72,DEG_T2D
ACE,CALML3,0.755,DEG_T2D
ACE,FURIN,0.803,DEG_T2D
ACE,ANPEP,0.816,DEG_T2D
ACE,MTHFR,0.818,DEG_T2D
ACE,NPPA,0.836,DEG_T2D
ACE,CYP11B2,0.867,DEG_T2D
ACE,NR3C2,0.891,DEG_T2D
ACE,KNG1,0.995,DEG_T2D
ACKR1,CCL11,0.753,DEG_T2D
ACLY,MLX,0.754,DEG_T2D
ACLY,MMUT,0.852,DEG_T2D
ACLY,SREBF1,0.795,DEG_T2D
ACLY,HMGCL,0.889,DEG_T2D
ACOT8,PEX10,0.728,DEG_T2D
ACOT8,ACOX1,0.768,DEG_T2D
ACOT8,SLC27A5,0.935,DEG_T2D
ACOT8,BAAT,0.942,DEG_T2D
ACOX1,SLC27A2,0.843,DEG_T2D
ACOX1,PPARG,0.74,DEG_T2D
ACOX1,PEX10,0.835,DEG_T2D
ACOX1,ACSL6,0.714,DEG_T2D
ACOX1,CROT,0.731,DEG_T2D
ACOX1,ACSL5,0.749,DEG_T2D
ACOX1,HMGCL,0.762,DEG_T2D
ACOX1,UCP2,0.774,DEG_T2D
ACOX1,ACSL4,0.782,DEG_T2D
ACOX1,SREBF1,0.858,DEG_T2D
ACOX1,ALDH7A1,0.88,DEG_T2D
ACOX1,AOX1,0.928,DEG_T2D
ACOX1,PCCA,0.942,DEG_T2D
ACOX1,ECHDC1,0.966,DEG_T2D
ACSBG1,ACSL5,0.74,DEG_T2D
ACSBG1,ACSL4,0.754,DEG_T2D
ACSBG1,ACSL6,0.758,DEG_T2D
ACSBG1,PPT1,0.837,DEG_T2D
ACSBG1,SLC27A2,0.881,DEG_T2D
ACSBG2,ACSL4,0.728,DEG_T2D
ACSBG2,ACSL5,0.729,DEG_T2D
ACSBG2,ACSL6,0.716,DEG_T2D
ACSBG2,PPT1,0.852,DEG_T2D
ACSL4,PNPLA3,0.712,DEG_T2D
ACSL4,SLC27A2,0.839,DEG_T2D
ACSL4,PNPLA2,0.746,DEG_T2D
ACSL4,ACSL6,0.731,DEG_T2D
ACSL4,ACSL5,0.739,DEG_T2D
ACSL4,PPT1,0.845,DEG_T2D
ACSL5,PNPLA3,0.736,DEG_T2D
ACSL5,LIPC,0.783,DEG_T2D
ACSL5,PNPLA2,0.752,DEG_T2D
ACSL5,PPT1,0.855,DEG_T2D
ACSL6,PNPLA3,0.716,DEG_T2D
ACSL6,PNPLA2,0.717,DEG_T2D
ACSL6,PPT1,0.847,DEG_T2D
ACTL6B,PPARG,0.901,DEG_T2D
ACTL6B,RUVBL1,0.907,DEG_T2D
ACTL6B,RUVBL2,0.916,DEG_T2D
ACTL6B,BCL7A,0.945,DEG_T2D
ACTR1A,DCTN4,0.999,DEG_T2D
ACTR3B,NCKIPSD,0.798,DEG_T2D
ACTR3B,DCTN4,0.823,DEG_T2D
ACTR3B,TPPP,0.844,DEG_T2D
ADAM12,SH3PXD2A,0.952,DEG_T2D
ADAMTS7,FURIN,0.749,DEG_T2D
ADARB1,GRIA2,0.822,DEG_T2D
ADARB1,BMP7,0.871,DEG_T2D
ADCY8,GNB3,0.715,DEG_T2D
ADCY8,PDE1B,0.741,DEG_T2D
ADCY8,PDE6A,0.737,DEG_T2D
ADCY8,PDE10A,0.79,DEG_T2D
ADCY8,ENTPD2,0.91,DEG_T2D
ADCY8,RAPGEF3,0.948,DEG_T2D
ADCY8,CALML3,0.993,DEG_T2D
ADGRB1,ELMO2,0.988,DEG_T2D
ADGRB1,ELMO1,0.932,DEG_T2D
ADGRB1,BAIAP3,0.867,DEG_T2D
ADH1C,ALDH1A2,0.801,DEG_T2D
ADH1C,HPGDS,0.73,DEG_T2D
ADH1C,AOX1,0.932,DEG_T2D
ADH1C,ALDH7A1,0.833,DEG_T2D
ADH1C,ALDH3B1,0.828,DEG_T2D
ADH1C,CYP2E1,0.965,DEG_T2D
ADIRF,PPARG,0.789,DEG_T2D
ADORA1,P2RY1,0.777,DEG_T2D
ADORA1,KNG1,0.928,DEG_T2D
ADRA1D,SNTA1,0.749,DEG_T2D
ADRA1D,GNB3,0.721,DEG_T2D
ADRA1D,GNA15,0.71,DEG_T2D
ADRA1D,GNA12,0.96,DEG_T2D
ADRA1D,UTRN,0.847,DEG_T2D
ADRA2C,GNB3,0.703,DEG_T2D
ADRA2C,GNA12,0.912,DEG_T2D
ADRB3,LIPE,0.833,DEG_T2D
ADRB3,CIDEA,0.721,DEG_T2D
ADRB3,UCP2,0.768,DEG_T2D
ADRB3,FGF21,0.769,DEG_T2D
AFF3,CCNT1,0.771,DEG_T2D
AFF3,AFF4,0.835,DEG_T2D
AFF4,CCNT1,0.999,DEG_T2D
AFF4,TTF2,0.722,DEG_T2D
AFF4,ELP4,0.903,DEG_T2D
AFF4,ICE1,0.923,DEG_T2D
AFF4,SUPT5H,0.958,DEG_T2D
AFG3L2,MICU1,0.75,DEG_T2D
AFG3L2,MAIP1,0.774,DEG_T2D
AFG3L2,MRPL16,0.809,DEG_T2D
AFG3L2,MRPL22,0.814,DEG_T2D
AFP,TYR,0.777,DEG_T2D
AFP,CP,0.737,DEG_T2D
AFP,IGFBP1,0.835,DEG_T2D
AFP,KLK3,0.773,DEG_T2D
AFP,GOLM1,0.717,DEG_T2D
AFP,GPT,0.894,DEG_T2D
AGO1,DNMT3A,0.846,DEG_T2D
AGO1,TP53,0.71,DEG_T2D
AGO1,PPID,0.761,DEG_T2D
AGO1,POP7,0.722,DEG_T2D
AGO1,EZH2,0.921,DEG_T2D
AGO1,GEMIN4,0.78,DEG_T2D
AGO1,DCP1A,0.839,DEG_T2D
AGO1,EIF4E,0.983,DEG_T2D
AGO1,AGO4,0.993,DEG_T2D
AGO4,DNMT3A,0.875,DEG_T2D
AGO4,POP7,0.72,DEG_T2D
AGO4,SUPT5H,0.771,DEG_T2D
AGO4,EIF4E,0.852,DEG_T2D
AGPAT2,LMNA,0.742,DEG_T2D
AGPAT2,LPIN1,0.928,DEG_T2D
AGRN,FKTN,0.83,DEG_T2D
AGRN,LRP1,0.75,DEG_T2D
AGRN,FKRP,0.72,DEG_T2D
AGRN,BCAN,0.781,DEG_T2D
AGRN,UTRN,0.862,DEG_T2D
AGRN,PTPRS,0.959,DEG_T2D
AGXT,SPTLC1,0.877,DEG_T2D
AGXT,MAT1A,0.803,DEG_T2D
AGXT,PUDP,0.896,DEG_T2D
AGXT,GNMT,0.933,DEG_T2D
