Community,Gene
Community 1,XRCC1
Community 1,TP53
Community 1,MAD2L1
Community 1,ATR
Community 1,RBBP8
Community 1,SPDL1
Community 1,EMSY
Community 1,MAPRE3
Community 1,ZW10
Community 1,GFAP
Community 1,STX18
Community 1,RAD1
Community 1,KNL1
Community 1,ZWINT
Community 1,ATP5F1D
Community 1,MUC1
Community 1,L3MBTL1
Community 1,EHMT1
Community 1,TP53AIP1
Community 1,BARD1
Community 1,XRCC2
Community 1,SMYD2
Community 1,PHC1
Community 1,S100B
Community 1,ANAPC2
Community 1,KNTC1
Community 1,PCBP4
Community 1,WRN
Community 1,NQO1
Community 1,CKAP5
Community 1,KIF23
Community 1,BLM
Community 1,CDYL
Community 1,FOXO4
Community 1,CENPC
Community 1,SLC25A4
Community 1,ATP6V1D
Community 1,FOXO3
Community 1,FBXO5
Community 1,RFC3
Community 1,ETS1
Community 1,CDCA8
Community 1,MUC13
Community 1,BUB1B
Community 1,KIF18A
Community 1,CENPQ
Community 1,PPID
Community 1,MIS12
Community 1,TPX2
Community 1,HIPK3
Community 1,BRCA2
Community 1,TOP3B
Community 1,ANAPC1
Community 1,CUL7
Community 2,BAAT
Community 2,GRIA2
Community 2,KCNJ4
Community 2,CALD1
Community 2,AKAP1
Community 2,PPAT
Community 2,PLCB1
Community 2,PRODH2
Community 2,PDE1B
Community 2,PICK1
Community 2,ALDH4A1
Community 2,ADCY8
Community 2,AK1
Community 2,NOS1
Community 2,PAICS
Community 2,TRPM4
Community 2,GNB3
Community 2,ALDH7A1
Community 2,ALDH1L1
Community 2,CACNA1D
Community 2,UTRN
Community 2,DPP6
Community 2,AKR1B10
Community 2,MYO10
Community 2,GJB1
Community 2,SGCD
Community 2,PRPS1L1
Community 2,SLC9A1
Community 2,DTNB
Community 2,UNC13A
Community 2,ALDH3B1
Community 2,SLC27A5
Community 2,CALML3
Community 2,CHRNA4
Community 2,SNTA1
Community 2,GAD2
Community 2,RAPGEF3
Community 2,GRIN1
Community 2,CHP2
Community 2,DHFR
Community 2,ACOT8
Community 2,SGCA
Community 2,TPK1
Community 2,ENTPD2
Community 2,AOC2
Community 2,GNA15
Community 2,SCN5A
Community 2,NUDT9
Community 2,KCNQ2
Community 2,FLNC
Community 3,PIP5K1C
Community 3,NRAS
Community 3,IGFALS
Community 3,IGF1
Community 3,IGFBP1
Community 3,EML4
Community 3,EPO
Community 3,IRS1
Community 3,HSPB8
Community 3,FGF6
Community 3,FGF23
Community 3,PHEX
Community 3,HAMP
Community 3,IGFBP2
Community 3,FGFR3
Community 3,RELN
Community 3,PIK3R3
Community 3,FGF4
Community 3,IL23A
Community 3,HSPB1
Community 3,PIP5K1B
Community 3,FGF21
Community 3,INPP5F
Community 3,RIN1
Community 3,WIPI1
Community 3,FGF16
Community 3,PTPN1
Community 3,HSPB3
Community 3,FGF17
Community 3,PDGFRB
Community 3,PTPRF
Community 3,FCGR1A
Community 3,FGF3
Community 3,KL
Community 3,ATG2B
Community 3,JAK2
Community 3,DAB1
Community 3,CSF2RB
Community 3,IL12B
Community 3,MTMR8
Community 3,PIK3C3
