"","TF","Disease","CTL","NES_Diff","p_value"
"MYC","MYC",1.02974238864276,-1.14035335517386,2.17009574381662,0.00282120365814381
"IRF1","IRF1",-0.928736716678506,0.724381735918802,-1.65311845259731,0.00924600543296703
"STAT1","STAT1",-0.896676486785613,1.04482427847969,-1.9415007652653,0.0225393696150315
"BACH1","BACH1",-0.248729767753152,0.218654821185445,-0.467384588938598,0.0299859096828393
"AR","AR",0.900256432491159,-0.46222859562896,1.36248502812012,0.0302540393582169
"STAT2","STAT2",-1.49059123936426,1.01993589304526,-2.51052713240951,0.0348746039339685
"NFIC","NFIC",0.744533938549465,-0.43181825747883,1.17635219602829,0.0379414892578462
"GATA2","GATA2",-0.46192424661047,0.48767943763326,-0.94960368424373,0.0406544441090103
"HNF4A","HNF4A",1.32343015995241,-1.15445149329573,2.47788165324814,0.0417787024543103
"FOXO1","FOXO1",0.438166462552787,-0.361667416406166,0.799833878958953,0.0562331371882117
"PPARG","PPARG",0.359368296711797,-0.387727067249447,0.747095363961244,0.0600370875190647
"GATA3","GATA3",-0.332275091851958,0.603641164329052,-0.93591625618101,0.066342239192815
"TP53","TP53",-0.691140900816025,0.508050483498206,-1.19919138431423,0.0691210153532272
"WT1","WT1",0.192267951271132,-0.279978707777908,0.47224665904904,0.0732111749929983
"SPI1","SPI1",-1.84117262716908,0.983637483194813,-2.82481011036389,0.0907433761645005
"HIF1A","HIF1A",0.356348627634713,-0.340231628337744,0.696580255972457,0.102636419403044
"CEBPA","CEBPA",0.529175788315605,-0.24023987199273,0.769415660308336,0.10659610271462
"PPARA","PPARA",0.487527213494476,-0.391639121854375,0.879166335348851,0.11347610047573
"SP1","SP1",0.535161708149801,-0.557486007513589,1.09264771566339,0.123958356213604
"SP3","SP3",0.715294514545439,-0.408724363948605,1.12401887849404,0.125272098428635
"MYB","MYB",-0.221979900145063,0.358247469113243,-0.580227369258307,0.143838781365677
"EGR1","EGR1",0.474368572335069,-0.249870150347962,0.724238722683031,0.175151215573112
"FOS","FOS",-0.332814064633816,0.21245047563939,-0.545264540273206,0.221360253942141
"ELK1","ELK1",0.520370522113363,-0.31876189138651,0.839132413499873,0.222818439577215
"YY1","YY1",-0.190711038756213,0.218106122562172,-0.408817161318384,0.23138503953239
"FOXM1","FOXM1",-0.416488278098512,0.0788061187375806,-0.495294396836093,0.237578887806759
"RARA","RARA",0.142396729441885,-0.307848042231189,0.450244771673075,0.27079843737625
"ETS1","ETS1",-0.366266858383208,0.309059331901303,-0.675326190284511,0.279268537510081
"E2F1","E2F1",-0.39293789941368,0.4160261077723,-0.80896400718598,0.293166453614559
"FOXA1","FOXA1",0.124729883960982,-0.478649300359142,0.603379184320124,0.313853545261585
"USF2","USF2",0.263275894998619,-0.184945398486879,0.448221293485497,0.346051961808228
"SMAD3","SMAD3",0.298984225682895,-0.266121972224008,0.565106197906903,0.349145160713121
"FOXP1","FOXP1",0.452709238553006,-1.00362894810625,1.45633818665926,0.353837871249525
"E2F4","E2F4",-0.453794781908316,0.434080827680088,-0.887875609588404,0.357646234039692
"USF1","USF1",0.319455325363989,-0.164975590966233,0.484430916330223,0.379465962913674
"RELA","RELA",-0.616430116148157,0.191519534902314,-0.807949651050471,0.380283448639969
"NFKB1","NFKB1",-0.703150942251399,0.191648068566214,-0.894799010817613,0.417006722748743
"ESR1","ESR1",0.151609778099581,-0.148589126952801,0.300198905052382,0.462089306787109
"SMAD4","SMAD4",0.145044059581936,-0.275468872672624,0.42051293225456,0.475480130150435
"ZNF263","ZNF263",-0.209024928845271,0.664205833406614,-0.873230762251885,0.616637061029704
"TFAP2A","TFAP2A",-0.044418168497118,-0.259142680994128,0.21472451249701,0.630972607488828
"CTCF","CTCF",-0.122130992112935,0.0590329981791001,-0.181163990292035,0.689433730000166
"JUN","JUN",0.0174473628815536,-0.140686307044033,0.158133669925586,0.7102143901403
"MITF","MITF",0.215980867980672,0.017023023481995,0.198957844498677,0.721071006972369
"CREB1","CREB1",0.18931978107845,0.0403762059768722,0.148943575101577,0.742895671359663
"STAT3","STAT3",-0.293572629223212,-0.0895705346628455,-0.204002094560366,0.768523282820394
"CEBPB","CEBPB",-0.0893788553263715,-0.198505619321821,0.10912676399545,0.881257257234057
"PRDM14","PRDM14",0.00298630105896831,0.132705404646487,-0.129719103587518,0.900912392539016
"ETS2","ETS2",-0.0778397743057539,-0.0318558824744441,-0.0459838918313098,0.911361886816084
"POU2F1","POU2F1",0.0388704428461728,0.0518847821822161,-0.0130143393360433,0.96480523634967
"FOXO3","FOXO3",-0.141510265730023,-0.141143233811976,-0.000367031918046962,0.999296673441947
