#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	CPB2	9606.ENSP00000323929	9606.ENSP00000181383	0	0	0	0	0.161	0.294	0	0.696	0.805
A2M	SERPINE1	9606.ENSP00000323929	9606.ENSP00000223095	0	0	0	0	0.063	0	0	0.800	0.804
A2M	TTR	9606.ENSP00000323929	9606.ENSP00000237014	0	0	0	0	0.133	0.069	0	0.892	0.905
A2M	F2	9606.ENSP00000323929	9606.ENSP00000308541	0	0	0	0	0.171	0.127	0	0.618	0.700
A2M	HSPA5	9606.ENSP00000323929	9606.ENSP00000324173	0	0	0	0	0.058	0.324	0	0.960	0.972
ABCA2	ABCB6	9606.ENSP00000344155	9606.ENSP00000265316	0	0	0	0.554	0.044	0.050	0.900	0.311	0.929
ABCA4	TULP1	9606.ENSP00000359245	9606.ENSP00000229771	0	0	0	0	0.071	0	0	0.806	0.812
ABCA4	GUCY2D	9606.ENSP00000359245	9606.ENSP00000254854	0	0	0	0	0.088	0	0	0.819	0.828
ABCA4	ELOVL4	9606.ENSP00000359245	9606.ENSP00000358831	0	0	0	0	0.059	0.050	0	0.891	0.894
ABCA4	CEP290	9606.ENSP00000359245	9606.ENSP00000448012	0	0	0	0	0	0	0	0.711	0.711
ABCA4	NR2E3	9606.ENSP00000359245	9606.ENSP00000482504	0	0	0	0	0.067	0.049	0	0.709	0.719
ABCA4	CDHR1	9606.ENSP00000359245	9606.ENSP00000485478	0	0	0	0	0.077	0.057	0	0.749	0.763
ABCA4	RPGRIP1	9606.ENSP00000359245	9606.ENSP00000382895	0	0	0	0	0.060	0.046	0	0.776	0.782
ABCB6	ABCA2	9606.ENSP00000265316	9606.ENSP00000344155	0	0	0	0.554	0.044	0.050	0.900	0.311	0.929
ABCD2	PEX19	9606.ENSP00000310688	9606.ENSP00000357051	0	0	0	0	0	0.642	0.500	0.468	0.896
ACAA2	ACO2	9606.ENSP00000285093	9606.ENSP00000216254	0	0	0	0	0.149	0.467	0	0.493	0.750
ACAA2	SDHA	9606.ENSP00000285093	9606.ENSP00000264932	0	0	0	0	0.191	0	0.449	0.492	0.753
