#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A4GALT	B4GALT4	9606.ENSP00000384794	9606.ENSP00000420161	0	0	0	0	0.067	0	0.900	0.397	0.938
AAR2	SNRNP40	9606.ENSP00000363043	9606.ENSP00000263694	0	0	0	0	0.197	0.783	0.720	0.537	0.974
AAR2	PRPF6	9606.ENSP00000363043	9606.ENSP00000266079	0	0	0	0	0.095	0.604	0.720	0.605	0.955
AAR2	DDX23	9606.ENSP00000363043	9606.ENSP00000310723	0	0	0	0	0.122	0.828	0.720	0.593	0.980
AAR2	TSSC4	9606.ENSP00000363043	9606.ENSP00000331087	0	0	0	0	0.125	0.850	0	0.532	0.933
AARS1	ANAPC2	9606.ENSP00000261772	9606.ENSP00000314004	0	0	0	0	0.049	0.630	0	0.274	0.722
AARS1	ANAPC1	9606.ENSP00000261772	9606.ENSP00000339109	0	0	0	0	0.078	0.760	0	0.304	0.832
ABCA3	SFTPC	9606.ENSP00000301732	9606.ENSP00000316152	0	0	0	0	0.084	0	0	0.894	0.899
ABCA3	SFTPB	9606.ENSP00000301732	9606.ENSP00000499683	0	0	0	0	0.068	0	0	0.959	0.960
ABCA8	SLC22A8	9606.ENSP00000467271	9606.ENSP00000337335	0	0	0	0	0.042	0.094	0	0.784	0.796
ABCC2	NR1I2	9606.ENSP00000497274	9606.ENSP00000336528	0	0	0	0	0.137	0	0	0.700	0.730
ABCC2	SLC22A8	9606.ENSP00000497274	9606.ENSP00000337335	0	0	0	0	0.124	0.070	0	0.902	0.913
ABCC2	SLC22A6	9606.ENSP00000497274	9606.ENSP00000367102	0	0	0	0	0.125	0.070	0	0.704	0.738
ABCC2	CYP3A4	9606.ENSP00000497274	9606.ENSP00000498939	0	0	0	0	0.128	0.050	0	0.727	0.754
ABRAXAS2	TP53	9606.ENSP00000298492	9606.ENSP00000269305	0	0	0	0	0	0.618	0	0.475	0.790
ABRAXAS2	PSMD14	9606.ENSP00000298492	9606.ENSP00000386541	0	0	0	0	0.062	0.304	0	0.628	0.736
ACACB	PPAT	9606.ENSP00000341044	9606.ENSP00000264220	0	0	0	0	0.110	0	0.792	0.125	0.823
ACACB	ACAT1	9606.ENSP00000341044	9606.ENSP00000265838	0.042	0	0	0	0.073	0	0.927	0.355	0.953
ACACB	ACOX1	9606.ENSP00000341044	9606.ENSP00000293217	0.043	0	0	0	0.049	0	0.265	0.723	0.790
ACACB	HLCS	9606.ENSP00000341044	9606.ENSP00000382071	0.120	0	0	0	0.126	0.362	0.750	0.496	0.927
ACACB	PRKAB1	9606.ENSP00000341044	9606.ENSP00000441369	0	0	0	0	0.049	0	0.900	0.318	0.929
ACACB	SREBF1	9606.ENSP00000341044	9606.ENSP00000348069	0	0	0	0	0.056	0	0.750	0.764	0.939
ACACB	PRKAA1	9606.ENSP00000341044	9606.ENSP00000346148	0	0	0	0	0.049	0.238	0.900	0.308	0.943
ACACB	ACLY	9606.ENSP00000341044	9606.ENSP00000466259	0	0	0	0	0.205	0	0.800	0.828	0.970
ACADL	ACADSB	9606.ENSP00000233710	9606.ENSP00000357873	0	0	0.123	0.803	0.111	0.094	0.900	0.173	0.931
ACADL	ACADS	9606.ENSP00000233710	9606.ENSP00000242592	0	0	0.129	0.807	0.110	0.098	0.900	0.218	0.935
ACADL	ACOX1	9606.ENSP00000233710	9606.ENSP00000293217	0	0	0	0	0.105	0	0.900	0.719	0.972
ACADS	AOX1	9606.ENSP00000242592	9606.ENSP00000363832	0	0	0	0	0.055	0	0.800	0.190	0.833
ACADS	ALDH7A1	9606.ENSP00000242592	9606.ENSP00000387123	0.042	0	0	0	0.122	0	0.829	0.304	0.887
ACADS	ACADSB	9606.ENSP00000242592	9606.ENSP00000357873	0	0	0.097	0.885	0.057	0	0.900	0.465	0.948
ACADS	ACOX1	9606.ENSP00000242592	9606.ENSP00000293217	0	0	0	0.566	0.129	0	0.900	0.486	0.951
ACADS	PCCA	9606.ENSP00000242592	9606.ENSP00000365462	0.057	0	0	0	0.132	0.052	0.919	0.428	0.957
ACADS	ACAT1	9606.ENSP00000242592	9606.ENSP00000265838	0.054	0	0	0	0.333	0.051	0.918	0.445	0.967
ACADS	ECHDC1	9606.ENSP00000242592	9606.ENSP00000436585	0.046	0	0	0	0.384	0.091	0.948	0.468	0.982
ACADSB	ACAT1	9606.ENSP00000357873	9606.ENSP00000265838	0.054	0	0	0	0.373	0.051	0.918	0.416	0.968
ACADSB	ACOX1	9606.ENSP00000357873	9606.ENSP00000293217	0	0	0	0	0.168	0	0.900	0.457	0.950
ACADSB	ECHDC1	9606.ENSP00000357873	9606.ENSP00000436585	0.046	0	0	0	0.385	0.091	0.503	0.650	0.890
ACAT1	ECHDC1	9606.ENSP00000265838	9606.ENSP00000436585	0.054	0	0	0	0.365	0.296	0.216	0.265	0.712
ACAT1	ACLY	9606.ENSP00000265838	9606.ENSP00000466259	0.057	0	0	0	0.107	0	0.819	0.507	0.915
ACAT1	ACOX1	9606.ENSP00000265838	9606.ENSP00000293217	0.054	0	0	0	0.342	0.051	0.918	0.440	0.968
ACAT1	HMGCL	9606.ENSP00000265838	9606.ENSP00000363614	0.072	0	0	0	0.220	0	0.900	0.661	0.972
ACE	GNB3	9606.ENSP00000290866	9606.ENSP00000229264	0	0	0	0	0	0	0	0.779	0.779
ACE	GPT	9606.ENSP00000290866	9606.ENSP00000378408	0	0	0	0	0	0	0	0.720	0.720
ACE	CALML3	9606.ENSP00000290866	9606.ENSP00000315299	0	0	0	0	0	0	0	0.755	0.755
ACE	FURIN	9606.ENSP00000290866	9606.ENSP00000483552	0	0	0	0	0	0	0	0.803	0.803
ACE	ANPEP	9606.ENSP00000290866	9606.ENSP00000300060	0	0	0	0	0.134	0	0	0.796	0.816
ACE	MTHFR	9606.ENSP00000290866	9606.ENSP00000365770	0	0	0	0	0	0	0	0.818	0.818
ACE	NPPA	9606.ENSP00000290866	9606.ENSP00000365663	0	0	0	0	0	0	0	0.836	0.836
ACE	CYP11B2	9606.ENSP00000290866	9606.ENSP00000325822	0	0	0	0	0.061	0	0	0.864	0.867
ACE	NR3C2	9606.ENSP00000290866	9606.ENSP00000350815	0	0	0	0	0	0	0	0.891	0.891
ACE	KNG1	9606.ENSP00000290866	9606.ENSP00000493985	0	0	0	0	0	0	0.900	0.960	0.995
ACKR1	CCL11	9606.ENSP00000357103	9606.ENSP00000302234	0	0	0	0	0.060	0	0	0.749	0.753
ACLY	MLX	9606.ENSP00000466259	9606.ENSP00000246912	0	0	0	0	0.060	0	0.750	0	0.754
ACLY	MMUT	9606.ENSP00000466259	9606.ENSP00000274813	0	0	0	0	0.135	0.075	0.800	0.183	0.852
ACLY	SREBF1	9606.ENSP00000466259	9606.ENSP00000348069	0	0	0	0	0.120	0	0	0.776	0.795
ACLY	HMGCL	9606.ENSP00000466259	9606.ENSP00000363614	0.079	0	0	0	0.055	0.069	0.800	0.422	0.889
ACOT8	PEX10	9606.ENSP00000217455	9606.ENSP00000288774	0	0	0	0	0.082	0	0.500	0.456	0.728
ACOT8	ACOX1	9606.ENSP00000217455	9606.ENSP00000293217	0.042	0	0	0	0.113	0	0.500	0.519	0.768
ACOT8	SLC27A5	9606.ENSP00000217455	9606.ENSP00000263093	0	0	0	0	0.048	0	0.900	0.378	0.935
ACOT8	BAAT	9606.ENSP00000217455	9606.ENSP00000259407	0	0	0	0	0	0	0.900	0.450	0.942
ACOX1	SLC27A2	9606.ENSP00000293217	9606.ENSP00000267842	0	0	0	0	0.106	0	0.570	0.626	0.843
ACOX1	PPARG	9606.ENSP00000293217	9606.ENSP00000287820	0	0	0	0	0.047	0	0	0.739	0.740
ACOX1	PEX10	9606.ENSP00000293217	9606.ENSP00000288774	0	0	0	0	0.055	0	0.500	0.680	0.835
ACOX1	ACSL6	9606.ENSP00000293217	9606.ENSP00000498260	0.050	0	0	0	0.195	0.096	0.288	0.508	0.714
ACOX1	CROT	9606.ENSP00000293217	9606.ENSP00000413575	0	0	0	0	0.094	0	0.500	0.454	0.731
ACOX1	ACSL5	9606.ENSP00000293217	9606.ENSP00000348429	0.050	0	0	0	0.197	0.089	0.288	0.571	0.749
ACOX1	HMGCL	9606.ENSP00000293217	9606.ENSP00000363614	0.057	0	0	0	0.159	0	0.500	0.472	0.762
ACOX1	UCP2	9606.ENSP00000293217	9606.ENSP00000499695	0	0	0	0	0	0	0	0.774	0.774
ACOX1	ACSL4	9606.ENSP00000293217	9606.ENSP00000339787	0.050	0	0	0	0.140	0.071	0.430	0.575	0.782
ACOX1	SREBF1	9606.ENSP00000293217	9606.ENSP00000348069	0	0	0	0	0	0	0	0.858	0.858
ACOX1	ALDH7A1	9606.ENSP00000293217	9606.ENSP00000387123	0.042	0	0	0	0.129	0	0.829	0.262	0.880
ACOX1	AOX1	9606.ENSP00000293217	9606.ENSP00000363832	0	0	0	0	0.055	0	0.800	0.650	0.928
ACOX1	PCCA	9606.ENSP00000293217	9606.ENSP00000365462	0.057	0	0	0	0.161	0.052	0.919	0.189	0.942
ACOX1	ECHDC1	9606.ENSP00000293217	9606.ENSP00000436585	0.046	0	0	0	0.300	0.091	0.932	0.311	0.966
ACSBG1	ACSL5	9606.ENSP00000258873	9606.ENSP00000348429	0	0	0.200	0.628	0.078	0	0.600	0.223	0.740
ACSBG1	ACSL4	9606.ENSP00000258873	9606.ENSP00000339787	0	0	0.184	0.597	0.057	0.066	0.600	0.278	0.754
ACSBG1	ACSL6	9606.ENSP00000258873	9606.ENSP00000498260	0	0	0.200	0.617	0.115	0	0.600	0.246	0.758
ACSBG1	PPT1	9606.ENSP00000258873	9606.ENSP00000493153	0	0	0	0	0.055	0	0.800	0.210	0.837
ACSBG1	SLC27A2	9606.ENSP00000258873	9606.ENSP00000267842	0	0	0	0	0.061	0.095	0	0.871	0.881
ACSBG2	ACSL4	9606.ENSP00000465589	9606.ENSP00000339787	0	0	0.182	0.610	0.057	0.066	0.600	0.204	0.728
ACSBG2	ACSL5	9606.ENSP00000465589	9606.ENSP00000348429	0	0	0.201	0.629	0.078	0	0.600	0.191	0.729
ACSBG2	ACSL6	9606.ENSP00000465589	9606.ENSP00000498260	0	0	0.204	0.610	0.074	0	0.600	0.152	0.716
ACSBG2	PPT1	9606.ENSP00000465589	9606.ENSP00000493153	0	0	0	0	0.055	0	0.800	0.279	0.852
ACSL4	PNPLA3	9606.ENSP00000339787	9606.ENSP00000216180	0	0	0	0	0.074	0	0.600	0.285	0.712
ACSL4	SLC27A2	9606.ENSP00000339787	9606.ENSP00000267842	0	0	0	0	0	0.106	0	0.827	0.839
ACSL4	PNPLA2	9606.ENSP00000339787	9606.ENSP00000337701	0	0	0	0	0.074	0	0.600	0.371	0.746
ACSL4	ACSL6	9606.ENSP00000339787	9606.ENSP00000498260	0	0	0.146	0.767	0.057	0.066	0.600	0.245	0.731
ACSL4	ACSL5	9606.ENSP00000339787	9606.ENSP00000348429	0	0	0.145	0.772	0.057	0.066	0.600	0.267	0.739
ACSL4	PPT1	9606.ENSP00000339787	9606.ENSP00000493153	0	0	0	0	0.055	0	0.800	0.245	0.845
ACSL5	PNPLA3	9606.ENSP00000348429	9606.ENSP00000216180	0	0	0	0	0.086	0	0.600	0.336	0.736
ACSL5	LIPC	9606.ENSP00000348429	9606.ENSP00000299022	0	0	0	0	0.044	0.051	0.600	0.473	0.783
ACSL5	PNPLA2	9606.ENSP00000348429	9606.ENSP00000337701	0	0	0	0	0.104	0	0.600	0.364	0.752
ACSL5	PPT1	9606.ENSP00000348429	9606.ENSP00000493153	0	0	0	0	0.055	0	0.800	0.294	0.855
ACSL6	PNPLA3	9606.ENSP00000498260	9606.ENSP00000216180	0	0	0	0	0.086	0	0.600	0.287	0.716
ACSL6	PNPLA2	9606.ENSP00000498260	9606.ENSP00000337701	0	0	0	0	0.074	0	0.600	0.299	0.717
ACSL6	PPT1	9606.ENSP00000498260	9606.ENSP00000493153	0	0	0	0	0.055	0	0.800	0.258	0.847
