#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB7	FECH	9606.ENSP00000253577	9606.ENSP00000498358	0	0	0	0	0.085	0.314	0	0.862	0.906
ABCB8	CCDC51	9606.ENSP00000297504	9606.ENSP00000379047	0	0	0	0	0.060	0.429	0.900	0.930	0.995
ABL1	DOK1	9606.ENSP00000361423	9606.ENSP00000233668	0	0	0	0	0	0.795	0	0.693	0.934
ABL1	PIK3C3	9606.ENSP00000361423	9606.ENSP00000262039	0	0	0	0	0	0.053	0	0.947	0.947
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.900	0.145	0.910
ABL1	EPHB3	9606.ENSP00000361423	9606.ENSP00000332118	0	0	0	0.615	0.074	0.043	0.900	0.434	0.943
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0.049	0.887	0.900	0.855	0.998
ABL1	TP73	9606.ENSP00000361423	9606.ENSP00000367545	0	0	0	0	0	0.785	0	0.594	0.909
ABL1	EPHB1	9606.ENSP00000361423	9606.ENSP00000381097	0	0	0	0.626	0.074	0.043	0.900	0.412	0.940
ACAA2	ACADL	9606.ENSP00000285093	9606.ENSP00000233710	0.054	0	0	0	0.326	0.098	0.918	0.636	0.979
ACAA2	ECI2	9606.ENSP00000285093	9606.ENSP00000369461	0.080	0	0	0	0.833	0.296	0.786	0.549	0.987
ACAA2	ACOX1	9606.ENSP00000285093	9606.ENSP00000293217	0.054	0	0	0	0.335	0.051	0.918	0.813	0.989
ACADL	ECI2	9606.ENSP00000233710	9606.ENSP00000369461	0.057	0	0	0	0.688	0.091	0.438	0.481	0.907
ACADL	ACOX1	9606.ENSP00000233710	9606.ENSP00000293217	0	0	0	0	0.105	0	0.900	0.719	0.972
ACADL	ACAA2	9606.ENSP00000233710	9606.ENSP00000285093	0.054	0	0	0	0.326	0.098	0.918	0.636	0.979
ACOX1	ACADL	9606.ENSP00000293217	9606.ENSP00000233710	0	0	0	0	0.105	0	0.900	0.719	0.972
ACOX1	ACAA2	9606.ENSP00000293217	9606.ENSP00000285093	0.054	0	0	0	0.335	0.051	0.918	0.813	0.989
ACOX1	ECI2	9606.ENSP00000293217	9606.ENSP00000369461	0.057	0	0	0	0.688	0.095	0.706	0.645	0.967
ACOX1	HSD17B4	9606.ENSP00000293217	9606.ENSP00000411960	0.054	0	0	0	0.430	0.065	0.918	0.968	0.998
ACTR5	TRRAP	9606.ENSP00000243903	9606.ENSP00000352925	0	0	0	0	0.063	0	0.900	0.146	0.913
ACVR1	BMP4	9606.ENSP00000405004	9606.ENSP00000245451	0	0	0	0	0.063	0.457	0.900	0.976	0.998
ACVR1	SMAD2	9606.ENSP00000405004	9606.ENSP00000262160	0	0	0	0	0.068	0.126	0.900	0.682	0.970
ADAP1	KIF13B	9606.ENSP00000442682	9606.ENSP00000427900	0	0	0	0	0.062	0.804	0	0.965	0.993
ADCYAP1	SCTR	9606.ENSP00000462647	9606.ENSP00000019103	0	0	0	0	0	0.148	0.400	0.831	0.906
ADCYAP1	PTGER2	9606.ENSP00000462647	9606.ENSP00000245457	0	0	0	0	0.042	0	0.900	0	0.900
ADCYAP1	HTR6	9606.ENSP00000462647	9606.ENSP00000289753	0	0	0	0	0	0	0.900	0.186	0.915
ADCYAP1	NPR1	9606.ENSP00000462647	9606.ENSP00000357669	0	0	0	0	0	0	0.900	0.183	0.914
ADGRF1	GNB1	9606.ENSP00000360299	9606.ENSP00000367872	0	0	0	0	0.060	0.921	0	0.072	0.925
ADGRL2	GNB1	9606.ENSP00000359765	9606.ENSP00000367872	0	0	0	0	0.060	0.967	0	0.105	0.969
AFDN	NECTIN2	9606.ENSP00000355771	9606.ENSP00000252483	0	0	0	0	0.043	0.741	0.900	0.982	0.999
AFDN	RRAS2	9606.ENSP00000355771	9606.ENSP00000256196	0	0	0	0	0	0.290	0.900	0.437	0.956
AFDN	CTNNA2	9606.ENSP00000355771	9606.ENSP00000384638	0	0	0	0	0.042	0.091	0.900	0.675	0.967
AGL	PYGM	9606.ENSP00000294724	9606.ENSP00000164139	0.115	0	0	0	0.665	0	0.965	0.799	0.997
