#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVR2B	SMAD2	9606.ENSP00000340361	9606.ENSP00000262160	0	0	0	0	0.086	0.354	0.900	0.755	0.983
ACVR2B	LEFTY1	9606.ENSP00000340361	9606.ENSP00000272134	0	0	0	0	0.048	0.126	0.500	0.832	0.921
ADNP	BPTF	9606.ENSP00000360662	9606.ENSP00000307208	0	0	0	0	0.505	0	0	0.498	0.741
ADNP	ZBTB14	9606.ENSP00000360662	9606.ENSP00000349503	0	0	0	0	0.048	0	0	0.777	0.778
ADNP	CHD8	9606.ENSP00000360662	9606.ENSP00000495240	0	0	0	0	0.520	0.051	0	0.667	0.835
ALG3	ALG5	9606.ENSP00000380793	9606.ENSP00000239891	0	0	0	0	0.137	0.954	0	0.744	0.988
ALG5	ALG3	9606.ENSP00000239891	9606.ENSP00000380793	0	0	0	0	0.137	0.954	0	0.744	0.988
ALOX15B	PTGS2	9606.ENSP00000369530	9606.ENSP00000356438	0	0	0	0	0.055	0.046	0.900	0.423	0.941
ANP32A	HMGB2	9606.ENSP00000417864	9606.ENSP00000296503	0	0	0	0	0.184	0	0	0.724	0.765
ANP32A	SET	9606.ENSP00000417864	9606.ENSP00000361777	0	0	0	0	0.237	0.628	0.800	0.991	0.999
ANP32A	XPO1	9606.ENSP00000417864	9606.ENSP00000384863	0	0	0	0	0.127	0.292	0.800	0.817	0.974
APOC3	CETP	9606.ENSP00000227667	9606.ENSP00000200676	0	0	0	0	0.058	0	0.720	0.921	0.977
APOC3	PLTP	9606.ENSP00000227667	9606.ENSP00000417138	0	0	0	0	0	0	0.720	0.603	0.884
APOC3	LCAT	9606.ENSP00000227667	9606.ENSP00000264005	0	0	0	0	0.106	0	0.720	0.849	0.958
ARAF	KRAS	9606.ENSP00000290277	9606.ENSP00000256078	0	0	0	0	0.079	0.745	0.900	0.864	0.996
ARF4	ARFGAP3	9606.ENSP00000306010	9606.ENSP00000263245	0	0	0	0	0.202	0.246	0.500	0.375	0.786
ARFGAP3	ARF4	9606.ENSP00000263245	9606.ENSP00000306010	0	0	0	0	0.202	0.246	0.500	0.375	0.786
ATF6B	CREB1	9606.ENSP00000364349	9606.ENSP00000387699	0	0	0	0	0	0	0.900	0.553	0.953
ATG5	CASP3	9606.ENSP00000358072	9606.ENSP00000311032	0	0	0	0	0.139	0.105	0	0.746	0.787
ATG5	BECN1	9606.ENSP00000358072	9606.ENSP00000355231	0	0	0	0	0.060	0.096	0.500	0.971	0.986
ATG5	LAMP2	9606.ENSP00000358072	9606.ENSP00000408411	0	0	0	0	0.049	0	0	0.746	0.748
ATP5MG	COX6A2	9606.ENSP00000300688	9606.ENSP00000287490	0	0	0	0	0.546	0.113	0	0.372	0.725
ATP5MG	ATP5PB	9606.ENSP00000300688	9606.ENSP00000358737	0	0	0	0	0.881	0.998	0.944	0.896	0.999
ATP5PB	ATP5MG	9606.ENSP00000358737	9606.ENSP00000300688	0	0	0	0	0.881	0.998	0.944	0.896	0.999
ATP5PB	KDM6A	9606.ENSP00000358737	9606.ENSP00000367203	0	0	0	0	0.247	0.618	0.270	0.129	0.792
ATP6AP2	ATP6V1A	9606.ENSP00000490083	9606.ENSP00000273398	0	0	0	0	0.403	0.957	0.720	0.664	0.997
ATP6V1A	ATP6AP2	9606.ENSP00000273398	9606.ENSP00000490083	0	0	0	0	0.403	0.957	0.720	0.664	0.997
ATP8B1	TMEM30A	9606.ENSP00000497896	9606.ENSP00000230461	0	0	0	0	0.068	0.986	0.900	0.858	0.999
AXL	ERBB2	9606.ENSP00000301178	9606.ENSP00000269571	0	0	0	0.597	0	0.091	0	0.750	0.763
AXL	TNS2	9606.ENSP00000301178	9606.ENSP00000319756	0	0	0	0	0.083	0.329	0	0.866	0.910
BACH1	MAFB	9606.ENSP00000382805	9606.ENSP00000362410	0	0	0	0	0.063	0.741	0	0.114	0.766
BACH1	XPO1	9606.ENSP00000382805	9606.ENSP00000384863	0	0	0	0	0.049	0.524	0.700	0.103	0.862
BCLAF1	PNN	9606.ENSP00000435210	9606.ENSP00000216832	0	0	0	0	0.277	0.696	0	0.474	0.874
BCLAF1	MAGOH	9606.ENSP00000435210	9606.ENSP00000360525	0	0	0	0	0.180	0.591	0.360	0.147	0.792
BCLAF1	U2SURP	9606.ENSP00000435210	9606.ENSP00000418563	0	0	0	0	0.797	0	0	0	0.797
BCLAF1	SRSF10	9606.ENSP00000435210	9606.ENSP00000420195	0	0	0	0	0.514	0.046	0	0.469	0.732
BECN1	TXNDC9	9606.ENSP00000355231	9606.ENSP00000264255	0	0	0	0	0.060	0	0	0.734	0.739
BECN1	ERBB2	9606.ENSP00000355231	9606.ENSP00000269571	0	0	0	0	0	0.605	0	0.728	0.888
BECN1	CASP3	9606.ENSP00000355231	9606.ENSP00000311032	0	0	0	0	0.049	0.292	0	0.898	0.925
BECN1	LAMP2	9606.ENSP00000355231	9606.ENSP00000408411	0	0	0	0	0.055	0	0	0.793	0.796
BECN1	ATG5	9606.ENSP00000355231	9606.ENSP00000358072	0	0	0	0	0.060	0.096	0.500	0.971	0.986
BET1	STX6	9606.ENSP00000222547	9606.ENSP00000258301	0	0	0	0	0.049	0.455	0.540	0.796	0.945
BICD2	DYNC1LI1	9606.ENSP00000349351	9606.ENSP00000273130	0	0	0	0	0.065	0.999	0.500	0.789	0.999
BICD2	PAFAH1B1	9606.ENSP00000349351	9606.ENSP00000380378	0	0	0	0	0.067	0.331	0.500	0.344	0.768
BIN1	EPN3	9606.ENSP00000316779	9606.ENSP00000268933	0	0	0	0	0.070	0.091	0	0.836	0.849
BIN1	DNMBP	9606.ENSP00000316779	9606.ENSP00000315659	0	0	0	0	0.042	0.576	0	0.815	0.918
BIN1	TRIP10	9606.ENSP00000316779	9606.ENSP00000320117	0	0	0	0	0.051	0.090	0	0.850	0.859
BPTF	NIPBL	9606.ENSP00000307208	9606.ENSP00000282516	0	0	0	0	0.794	0	0	0.098	0.806
BPTF	ADNP	9606.ENSP00000307208	9606.ENSP00000360662	0	0	0	0	0.505	0	0	0.498	0.741
BTBD1	COPS3	9606.ENSP00000261721	9606.ENSP00000268717	0	0	0	0	0.084	0.731	0	0.089	0.756
CASP3	ATG5	9606.ENSP00000311032	9606.ENSP00000358072	0	0	0	0	0.139	0.105	0	0.746	0.787
CASP3	STK26	9606.ENSP00000311032	9606.ENSP00000377867	0	0	0	0	0.053	0	0.750	0.447	0.857
CASP3	PTGS2	9606.ENSP00000311032	9606.ENSP00000356438	0	0	0	0	0.055	0	0	0.863	0.865
CASP3	BECN1	9606.ENSP00000311032	9606.ENSP00000355231	0	0	0	0	0.049	0.292	0	0.898	0.925
CAT	SOD3	9606.ENSP00000241052	9606.ENSP00000371554	0.115	0	0	0	0.142	0.114	0.792	0.349	0.892
CCL11	IL3	9606.ENSP00000302234	9606.ENSP00000296870	0	0	0	0	0.075	0	0	0.780	0.788
CDC40	SNRPA1	9606.ENSP00000357928	9606.ENSP00000254193	0	0	0	0	0.086	0.995	0.900	0.558	0.999
CDC40	SNRPD1	9606.ENSP00000357928	9606.ENSP00000300413	0	0	0	0	0.108	0.989	0.900	0.384	0.999
CDC40	SRRM1	9606.ENSP00000357928	9606.ENSP00000326261	0	0	0	0	0.067	0.800	0.800	0.239	0.967
CDC40	RBM8A	9606.ENSP00000357928	9606.ENSP00000463058	0	0	0	0	0.127	0.800	0.500	0.155	0.916
CDC40	MAGOH	9606.ENSP00000357928	9606.ENSP00000360525	0	0	0	0	0.100	0.914	0.500	0.167	0.963
CDC40	PPIE	9606.ENSP00000357928	9606.ENSP00000361918	0	0	0	0	0.049	0.910	0.900	0.202	0.992
CDC40	SNRPE	9606.ENSP00000357928	9606.ENSP00000400591	0	0	0	0	0.108	0.994	0.900	0.249	0.999
CEBPZ	UTP18	9606.ENSP00000234170	9606.ENSP00000225298	0	0	0	0	0.830	0	0	0.085	0.838
CEBPZ	PPAN-P2RY11	9606.ENSP00000234170	9606.ENSP00000377385	0	0	0	0	0.677	0.405	0	0.151	0.822
CEBPZ	NGDN	9606.ENSP00000234170	9606.ENSP00000386134	0	0	0	0	0.838	0	0	0.149	0.856
CEBPZ	RSL24D1	9606.ENSP00000234170	9606.ENSP00000260443	0	0	0	0	0.775	0	0	0.477	0.877
CEBPZ	DDX56	9606.ENSP00000234170	9606.ENSP00000258772	0	0	0	0	0.915	0.698	0	0.261	0.979
CEP350	PPP2CB	9606.ENSP00000356579	9606.ENSP00000221138	0	0	0	0	0	0.764	0	0.047	0.766
CETP	PLTP	9606.ENSP00000200676	9606.ENSP00000417138	0	0	0	0.598	0.074	0	0.720	0.474	0.851
CETP	APOC3	9606.ENSP00000200676	9606.ENSP00000227667	0	0	0	0	0.058	0	0.720	0.921	0.977
CETP	LCAT	9606.ENSP00000200676	9606.ENSP00000264005	0	0	0	0	0.114	0	0.720	0.954	0.987
CHD7	CHD8	9606.ENSP00000392028	9606.ENSP00000495240	0	0	0.075	0.922	0.054	0.510	0	0.912	0.957
CHD8	PELP1	9606.ENSP00000495240	9606.ENSP00000301396	0	0	0	0	0.103	0.071	0.900	0.049	0.910
CHD8	ADNP	9606.ENSP00000495240	9606.ENSP00000360662	0	0	0	0	0.520	0.051	0	0.667	0.835
CHD8	CHD7	9606.ENSP00000495240	9606.ENSP00000392028	0	0	0.075	0.922	0.054	0.510	0	0.912	0.957
COL18A1	DR1	9606.ENSP00000352798	9606.ENSP00000359295	0	0	0	0	0	0	0	0.959	0.959
COPS3	BTBD1	9606.ENSP00000268717	9606.ENSP00000261721	0	0	0	0	0.084	0.731	0	0.089	0.756
COPS3	CUL4B	9606.ENSP00000268717	9606.ENSP00000384109	0	0	0	0	0.055	0.882	0.500	0.107	0.943
COPS3	COPS4	9606.ENSP00000268717	9606.ENSP00000424655	0	0	0	0	0.608	0.997	0.900	0.865	0.999
COPS4	COPS3	9606.ENSP00000424655	9606.ENSP00000268717	0	0	0	0	0.608	0.997	0.900	0.865	0.999
COPS4	CUL4B	9606.ENSP00000424655	9606.ENSP00000384109	0	0	0	0	0.056	0.844	0.500	0.450	0.954
COX6A2	ATP5MG	9606.ENSP00000287490	9606.ENSP00000300688	0	0	0	0	0.546	0.113	0	0.372	0.725
CPD	IGF2R	9606.ENSP00000225719	9606.ENSP00000349437	0	0	0	0	0.185	0	0.500	0.410	0.738
CREB1	TBP	9606.ENSP00000387699	9606.ENSP00000230354	0	0	0	0	0.164	0	0	0.697	0.735
CREB1	NFIL3	9606.ENSP00000387699	9606.ENSP00000297689	0	0	0	0	0.051	0.514	0	0.598	0.799
CREB1	PPP1CC	9606.ENSP00000387699	9606.ENSP00000341779	0	0	0	0	0.075	0	0.650	0.224	0.727
CREB1	ATF6B	9606.ENSP00000387699	9606.ENSP00000364349	0	0	0	0	0	0	0.900	0.553	0.953
CREB1	PRKD3	9606.ENSP00000387699	9606.ENSP00000368356	0	0	0	0	0.049	0	0.650	0.307	0.749
CREB1	RPS6KA3	9606.ENSP00000387699	9606.ENSP00000368884	0	0	0	0	0.107	0.042	0.500	0.759	0.883
CRKL	EPO	9606.ENSP00000346300	9606.ENSP00000252723	0	0	0	0	0	0	0.500	0.479	0.728
CRKL	ERBB2	9606.ENSP00000346300	9606.ENSP00000269571	0	0	0	0	0	0.388	0	0.576	0.729
CSTF3	SNRNP70	9606.ENSP00000315791	9606.ENSP00000472998	0	0	0	0	0.181	0.538	0	0.346	0.731
CUL4B	COPS3	9606.ENSP00000384109	9606.ENSP00000268717	0	0	0	0	0.055	0.882	0.500	0.107	0.943
CUL4B	NAE1	9606.ENSP00000384109	9606.ENSP00000351990	0	0	0	0	0.056	0	0.500	0.532	0.759
CUL4B	UBA3	9606.ENSP00000384109	9606.ENSP00000354340	0	0	0	0	0.100	0	0.500	0.547	0.778
CUL4B	UBE2A	9606.ENSP00000384109	9606.ENSP00000360613	0	0	0	0	0.251	0.059	0	0.714	0.781
CUL4B	CUL7	9606.ENSP00000384109	9606.ENSP00000438788	0	0	0	0	0.049	0	0	0.904	0.904
CUL4B	COPS4	9606.ENSP00000384109	9606.ENSP00000424655	0	0	0	0	0.056	0.844	0.500	0.450	0.954
CUL7	RSL24D1	9606.ENSP00000438788	9606.ENSP00000260443	0	0	0	0	0.131	0.767	0	0	0.788
CUL7	MRPL13	9606.ENSP00000438788	9606.ENSP00000306548	0.091	0	0	0	0.595	0.894	0	0.204	0.964
CUL7	MRPL4	9606.ENSP00000438788	9606.ENSP00000306902	0.091	0	0	0	0.600	0.813	0	0.204	0.938
CUL7	UBA3	9606.ENSP00000438788	9606.ENSP00000354340	0	0	0	0	0	0.046	0	0.813	0.814
CUL7	CUL4B	9606.ENSP00000438788	9606.ENSP00000384109	0	0	0	0	0.049	0	0	0.904	0.904
CUL7	RPL30	9606.ENSP00000438788	9606.ENSP00000428085	0	0	0	0	0.691	0.782	0	0.305	0.949
CUL7	RPL26L1	9606.ENSP00000438788	9606.ENSP00000428223	0.091	0	0	0	0.595	0.635	0	0.204	0.878
CYP21A2	HSD11B2	9606.ENSP00000496625	9606.ENSP00000316786	0	0	0	0	0.105	0.045	0.900	0.845	0.985
DDX46	SNRPA1	9606.ENSP00000416534	9606.ENSP00000254193	0	0	0	0	0.106	0.955	0.800	0.469	0.995
DDX46	SNRPD1	9606.ENSP00000416534	9606.ENSP00000300413	0	0	0	0	0.142	0.991	0.540	0.225	0.996
DDX46	SNRPE	9606.ENSP00000416534	9606.ENSP00000400591	0	0	0	0	0.126	0.937	0.540	0.130	0.975
DDX46	SNRNP70	9606.ENSP00000416534	9606.ENSP00000472998	0.042	0	0	0	0.178	0.429	0	0.642	0.817
DDX46	U2SURP	9606.ENSP00000416534	9606.ENSP00000418563	0	0	0	0	0.494	0	0.800	0.259	0.918
DDX56	CEBPZ	9606.ENSP00000258772	9606.ENSP00000234170	0	0	0	0	0.915	0.698	0	0.261	0.979
DDX56	NGDN	9606.ENSP00000258772	9606.ENSP00000386134	0	0	0	0	0.679	0.145	0	0.175	0.754
DDX56	PPAN-P2RY11	9606.ENSP00000258772	9606.ENSP00000377385	0	0	0	0	0.684	0.306	0	0	0.771
DDX56	RSL24D1	9606.ENSP00000258772	9606.ENSP00000260443	0	0	0	0	0.832	0.255	0	0.176	0.888
DNAJA2	HSPA14	9606.ENSP00000314030	9606.ENSP00000367623	0.041	0	0.406	0	0.279	0.142	0.162	0.356	0.765
DNMBP	BIN1	9606.ENSP00000315659	9606.ENSP00000316779	0	0	0	0	0.042	0.576	0	0.815	0.918
DR1	TBP	9606.ENSP00000359295	9606.ENSP00000230354	0	0	0	0	0.049	0.964	0	0.952	0.998
DR1	COL18A1	9606.ENSP00000359295	9606.ENSP00000352798	0	0	0	0	0	0	0	0.959	0.959
DR1	MAP3K7	9606.ENSP00000359295	9606.ENSP00000358335	0	0	0	0	0.102	0.292	0.720	0.320	0.862
DUT	MCM6	9606.ENSP00000370376	9606.ENSP00000264156	0	0	0	0	0.652	0	0	0.326	0.756
DYNC1LI1	RAB4A	9606.ENSP00000273130	9606.ENSP00000355651	0	0	0	0	0.063	0.230	0	0.652	0.727
DYNC1LI1	PAFAH1B1	9606.ENSP00000273130	9606.ENSP00000380378	0	0	0	0	0.122	0.790	0.500	0.285	0.925
